"site","lat","long","sampledepth","Sample.Type","sample_date","total_spp","total_fish","total_invert"
"Athabaskan",52.024086,-128.30099,11,"Sample","2021-09-08",17,7,10
"CHP",51.676173,-128.123562,4,"Sample","2021-09-19",25,7,18
"FAN1",52.061232,-128.413031,3,"Sample","2021-09-09",33,11,22
"FAN3",52.053012,-128.403229,4,"Sample","2021-09-09",22,8,14
"FEI3",51.713203,-127.868849,2.5,"Sample","2021-09-03",23,6,17
"FEI4",51.706519,-127.882814,2,"Sample","2021-09-03",49,23,26
"GOG1",51.925055,-128.468527,1,"Sample","2021-09-06",45,12,33
"GOG4",51.902943,-128.438845,4.5,"Sample","2021-09-06",34,10,24
"Golden",51.903127,-128.21272,4,"Sample","2021-09-12",23,10,13
"Gosling",51.899617,-128.43214,11.5,"Sample","2021-09-06",29,9,20
"HAB2",51.6638,-128.139967,4,"Sample","2021-09-19",33,10,23
"HAB4",51.665301,-128.07898,2,"Sample","2021-09-04",19,5,14
"HDO",51.654833,-128.129617,2,"Sample","2021-09-17",32,3,29
"HI1008297",51.824993,-128.20052,5,"Sample","2021-09-07",35,8,27
"HI10138617",51.845073,-127.885537,16,"Sample","2021-09-14",15,3,12
"HI10208937",51.968291,-128.214348,2,"Sample","2021-09-12",29,9,20
"HI10311645",51.916997,-128.451855,8,"Sample","2021-09-06",38,14,24
"HI1043625",51.906769,-128.23358,5,"Sample","2021-09-12",25,9,16
"HI1043721",51.520707,-128.112277,28,"Sample","2021-09-10",17,4,13
"HI1050633",51.730774,-128.141474,34,"Sample","2021-09-14",24,12,12
"HI10508409",51.584265,-127.798398,57,"Sample","2021-09-05",24,8,16
"HI1056969",51.423731,-127.926484,5,"Sample","2021-09-10",19,6,13
"HI1057977",51.45892,-127.663913,4,"Sample","2021-09-13",19,4,15
"HI1066089",52.090461,-128.375041,7,"Sample","2021-09-09",14,6,8
"HI1084125",52.022198,-128.480273,36,"Sample","2021-09-06",24,11,13
"HI10969785",51.523908,-127.645464,39,"Sample","2021-09-18",16,8,8
"HI11380521",52.028828,-128.248981,50,"Sample","2021-09-11",13,4,9
"HI1147401",51.49708,-128.11818,29,"Sample","2021-09-10",16,3,13
"HI1184553",51.865599,-128.238912,6,"Sample","2021-09-07",24,5,19
"HI12019113",51.8363,-128.188167,6,"Sample","2021-09-19",32,11,21
"HI1230249",51.916533,-128.19315,42,"Sample","2021-09-12",31,8,23
"HI1237113",51.356664,-127.793264,10,"Sample","2021-09-13",16,8,8
"HI1261353",51.886401,-128.245605,7,"Sample","2021-09-12",21,8,13
"HI12969",51.804761,-128.203289,6,"Sample","2021-09-16",32,11,21
"HI1306809",51.484783,-127.664617,7,"Sample","2021-09-18",23,5,18
"HI1325241",51.425318,-127.65781,14,"Sample","2021-09-13",18,4,14
"HI132969",52.0801,-128.3215,34,"Sample","2021-09-09",16,6,10
"HI1400121",51.480905,-127.701947,7,"Sample","2021-09-18",29,7,22
"HI1405305",51.531742,-127.767299,6,"Sample","2021-09-18",24,9,15
"HI1427241",52.012249,-128.249544,41,"Sample","2021-09-11",15,4,11
"HI1443321",51.714496,-127.861591,2,"Sample","2021-09-05",17,3,14
"HI14453001",51.821453,-128.112072,6,"Sample","2021-09-19",23,4,19
"HI14456457",51.702032,-128.065128,4.5,"Sample","2021-09-21",33,9,24
"HI14456457",51.702032,-128.065128,26.3,"Sample","2021-09-04",33,9,24
"HI14714793",51.8638,-128.173767,5.5,"Sample","2021-09-19",27,9,18
"HI151005",52.010083,-128.476256,38,"Sample","2021-09-06",25,7,18
"HI1525725",51.862278,-128.445504,21,"Sample","2021-09-06",39,15,24
"HI1557801",51.862863,-128.257379,4,"Sample","2021-09-07",35,9,26
"HI1558665",51.69081,-128.073256,5,"Sample","2021-09-17",29,10,19
"HI1558665",51.69081,-128.073256,13,"Sample","2021-09-21",29,10,19
"HI1648521",51.744788,-128.031676,44,"Sample","2021-09-19",23,7,16
"HI16955145",51.68934,-128.100347,22,"Sample","2021-09-04",24,4,20
"HI1710729",51.767452,-128.059561,6,"Sample","2021-09-04",23,5,18
"HI1738377",51.466612,-128.054123,11,"Sample","2021-09-10",29,7,22
"HI1743993",51.615851,-127.810612,6,"Sample","2021-09-05",26,8,18
"HI1776393",51.670444,-128.089674,13,"Sample","2021-09-17",29,10,19
"HI1789149",51.890663,-128.504439,43,"Sample","2021-09-06",13,5,8
"HI1809885",51.96263,-128.470605,5.5,"Sample","2021-09-09",29,14,15
"HI18568521",51.4415,-127.971167,7,"Sample","2021-09-10",13,3,10
"HI1900809",51.654317,-128.108445,37,"Sample","2021-09-17",24,8,16
"HI1900809",51.654317,-128.108445,39,"Sample","2021-09-21",24,8,16
"HI1907721",51.863217,-128.160004,39,"Sample","2021-09-16",17,7,10
"HI1924905",51.989955,-128.25157,8,"Sample","2021-09-11",19,6,13
"HI1947465",51.661007,-127.962308,5,"Sample","2021-09-19",23,7,16
"HI1972521",51.807964,-128.247971,3,"Sample","2021-09-07",37,10,27
"HI1976841",51.517309,-128.1133,33,"Sample","2021-09-10",12,6,6
"HI1991097",51.469667,-127.625747,4,"Sample","2021-09-13",29,11,18
"HI2013129",51.56458,-127.892653,64,"Sample","2021-09-18",14,4,10
"HI2044665",51.665366,-127.824139,7,"Sample","2021-09-05",32,6,26
"HI2065833",51.819842,-128.188572,2,"Sample","2021-09-07",22,2,20
"HI2070585",51.606281,-127.731173,6.5,"Sample","2021-09-19",26,8,18
"HI2071785",52.070744,-128.409374,27,"Sample","2021-09-09",25,6,19
"HI2128041",51.822944,-128.21643,24,"Sample","2021-09-07",24,7,17
"HI2170377",51.733733,-128.137283,12,"Sample","2021-09-14",17,5,12
"HI2305065",52.064308,-128.310153,3.8,"Sample","2021-09-08",26,7,19
"HI236649",52.051028,-128.373456,28,"Sample","2021-09-09",13,3,10
"HI2367273",52.046537,-128.254405,9,"Sample","2021-09-08",20,5,15
"HI2459613",52.078072,-128.457858,21,"Sample","2021-09-09",17,4,13
"HI2562537",52.025176,-128.413641,41,"Sample","2021-09-09",14,4,10
"HI2571705",51.522048,-127.638816,7,"Sample","2021-09-18",28,6,22
"HI2650665",51.965209,-128.277933,56,"Sample","2021-09-12",25,4,21
"HI2659401",51.76716,-128.03382,2.5,"Sample","2021-09-04",51,17,34
"HI2737593",51.459308,-127.631886,49,"Sample","2021-09-13",16,6,10
"HI2752137",51.442471,-128.055362,50,"Sample","2021-09-10",21,7,14
"HI2830473",51.765474,-128.081232,6,"Sample","2021-09-14",23,5,18
"HI2882745",51.514021,-127.671218,6,"Sample","2021-09-18",24,5,19
"HI2981241",51.56049,-127.775024,5,"Sample","2021-09-05",30,9,21
"HI3016521",51.428988,-127.952479,29,"Sample","2021-09-10",16,2,14
"HI3048633",51.492897,-127.666762,9,"Sample","2021-09-18",23,7,16
"HI3109113",51.873691,-127.849901,2.5,"Sample","2021-09-14",32,12,20
"HI313209",51.62661,-127.756675,6,"Sample","2021-09-05",20,6,14
"HI317865",51.975806,-128.191476,5,"Sample","2021-09-12",27,8,19
"HI3188601",51.489,-127.750333,4,"Sample","2021-09-18",29,6,23
"HI3203721",51.760914,-128.061879,7,"Sample","2021-09-04",25,7,18
"HI3226617",51.689256,-127.883766,20,"Sample","2021-09-05",22,7,15
"HI32733",51.849742,-128.454942,29,"Sample","2021-09-06",32,8,24
"HI3296457",51.428479,-127.939416,3,"Sample","2021-09-10",24,8,16
"HI3334953",51.95327,-128.241836,9,"Sample","2021-09-12",18,6,12
"HI33501",52.063901,-128.487079,44,"Sample","2021-09-09",21,9,12
"HI3366057",51.939724,-128.231644,8,"Sample","2021-09-12",21,6,15
"HI3406557",51.924888,-128.484622,5,"Sample","2021-09-09",14,5,9
"HI342153",51.753804,-128.075812,3,"Sample","2021-09-16",27,9,18
"HI34569",51.645935,-128.095816,3,"Sample","2021-09-04",35,10,25
"HI34569",51.645935,-128.095816,8,"Sample","2021-09-21",35,10,25
"HI3533673",52.035493,-128.310155,35,"Sample","2021-09-08",13,4,9
"HI3577401",51.457491,-127.718206,5.5,"Sample","2021-09-13",29,6,23
"HI3723753",51.975457,-128.414743,10,"Sample","2021-09-06",30,7,23
"HI3931209",51.475046,-128.005779,3,"Sample","2021-09-10",19,5,14
"HI3957033",51.972258,-128.258769,53,"Sample","2021-09-11",22,6,16
"HI3970953",51.837197,-128.037757,10,"Sample","2021-09-14",21,5,16
"HI3986505",51.796711,-128.018433,10.3,"Sample","2021-09-04",38,12,26
"HI399609",51.598283,-127.832517,7.5,"Sample","2021-09-19",20,7,13
"HI4002057",51.8079,-128.117183,54,"Sample","2021-09-16",20,10,10
"HI4083273",51.727754,-128.003536,2,"Sample","2021-09-05",29,9,20
"HI4091817",51.922788,-128.184715,1,"Sample","2021-09-12",22,8,14
"HI41481",51.857103,-128.133972,3,"Sample","2021-09-16",23,9,14
"HI4155753",52.054386,-128.328101,11,"Sample","2021-09-08",22,8,14
"HI4180905",51.833493,-128.163557,6,"Sample","2021-09-16",22,9,13
"HI4205865",51.940604,-128.269164,7,"Sample","2021-09-12",24,8,16
"HI4249593",51.75567,-127.874434,12,"Sample","2021-09-14",26,5,21
"HI4319913",52.007544,-128.204932,6,"Sample","2021-09-11",24,9,15
"HI4372281",51.626178,-127.690512,7,"Sample","2021-09-05",32,10,22
"HI437625",51.610476,-127.779069,3,"Sample","2021-09-05",30,6,24
"HI4475433",52.021123,-128.275078,6,"Sample","2021-09-11",24,5,19
"HI450057",51.93834,-128.147542,3,"Sample","2021-09-12",22,4,18
"HI4574889",51.839077,-128.21285,3.5,"Sample","2021-09-07",30,9,21
"HI4653417",52.033511,-128.33108,8,"Sample","2021-09-08",18,4,14
"HI4662057",52.026371,-128.245614,9,"Sample","2021-09-11",25,7,18
"HI4665609",51.778708,-128.118166,7,"Sample","2021-09-16",18,5,13
"HI466569",51.780686,-128.07074,3,"Sample","2021-09-14",29,9,20
"HI468729",51.639824,-127.824623,3,"Sample","2021-09-05",28,9,19
"HI4694841",51.405099,-127.674788,3,"Sample","2021-09-13",35,7,28
"HI4717449",51.824627,-128.029323,5,"Sample","2021-09-14",17,4,13
"HI4719609",51.681531,-127.878828,2,"Sample","2021-09-19",22,5,17
"HI476073",51.543907,-128.154199,29,"Sample","2021-09-10",21,6,15
"HI4840041",52.038664,-128.346885,10,"Sample","2021-09-08",23,5,18
"HI4865193",51.818301,-128.226552,6,"Sample","2021-09-07",27,8,19
"HI4865913",51.378063,-127.751637,42,"Sample","2021-09-13",22,10,12
"HI4899753",51.7315,-128.166683,24,"Sample","2021-09-14",12,5,7
"HI4980009",52.037018,-128.27206,4.5,"Sample","2021-09-08",19,5,14
"HI5072121",51.621383,-127.841,6,"Sample","2021-09-19",33,9,24
"HI5101065",51.753104,-128.136934,5,"Sample","2021-09-14",16,7,9
"HI5149353",51.917409,-128.20799,5,"Sample","2021-09-12",19,5,14
"HI5157129",51.892887,-128.120799,2,"Sample","2021-09-16",33,14,19
"HI5270265",51.358583,-127.8042,39,"Sample","2021-09-13",20,3,17
"HI529209",51.492767,-127.680083,4,"Sample","2021-09-18",35,9,26
"HI5356713",51.974477,-128.23599,6,"Sample","2021-09-11",15,4,11
"HI545961",51.928133,-128.229209,3,"Sample","2021-09-12",25,9,16
"HI5694633",51.837678,-128.221961,5,"Sample","2021-09-07",35,14,21
"HI5745513",51.941382,-128.304761,29,"Sample","2021-09-08",19,8,11
"HI5835321",51.415467,-127.706893,29,"Sample","2021-09-13",19,9,10
"HI5941305",51.5022,-127.725333,6,"Sample","2021-09-18",26,11,15
"HI596829",51.946093,-128.510719,38,"Sample","2021-09-06",23,9,14
"HI6057",51.59567,-128.162133,44,"Sample","2021-09-10",21,7,14
"HI6161193",51.843116,-128.236508,7,"Sample","2021-09-07",11,2,9
"HI6179337",51.804432,-128.128618,10,"Sample","2021-09-16",21,9,12
"HI618633",51.468571,-128.066859,9,"Sample","2021-09-10",21,5,16
"HI6214665",51.930098,-128.160798,8,"Sample","2021-09-12",26,10,16
"HI635049",51.829311,-128.221816,49,"Sample","2021-09-07",17,7,10
"HI6490377",51.83325,-128.113117,4.5,"Sample","2021-09-16",27,10,17
"HI669405",51.885774,-128.484933,38,"Sample","2021-09-06",31,12,19
"HI6715017",51.463544,-128.054871,45,"Sample","2021-09-10",16,6,10
"HI6784041",52.024099,-128.300974,7,"Sample","2021-09-08",20,7,13
"HI683001",51.86683,-127.890225,24,"Sample","2021-09-14",21,9,12
"HI684729",51.464234,-127.646212,6,"Sample","2021-09-13",30,16,14
"HI702009",51.634291,-127.725302,4.5,"Sample","2021-09-05",25,10,15
"HI703209",52.055862,-128.380227,34,"Sample","2021-09-09",19,3,16
"HI711081",51.650524,-128.172609,39,"Sample","2021-09-02",26,10,16
"HI717561",51.609005,-127.821215,41,"Sample","2021-09-05",23,8,15
"HI7248873",51.912231,-128.434105,5,"Sample","2021-09-06",38,14,24
"HI7250697",51.683316,-128.09192,11,"Sample","2021-09-17",17,6,11
"HI7455033",51.506617,-127.696617,9,"Sample","2021-09-18",28,7,21
"HI775737",51.403159,-127.713662,8,"Sample","2021-09-13",25,12,13
"HI79401",51.922867,-128.2808,51,"Sample","2021-09-12",17,6,11
"HI796473",51.416137,-127.680193,5,"Sample","2021-09-13",29,14,15
"HI8054073",51.404518,-127.696664,29,"Sample","2021-09-13",25,13,12
"HI808713",51.74386667,128.1013833,16,"Sample","2021-09-14",17,6,11
"HI8187177",51.964514,-128.270548,44,"Sample","2021-09-11",19,4,15
"HI8307165",52.037796,-128.468655,39,"Sample","2021-09-09",16,6,10
"HI842205",52.033583,-128.465867,39,"Sample","2021-09-09",14,4,10
"HI852777",51.80537,-128.234079,5.5,"Sample","2021-09-16",33,11,22
"HI907641",51.538481,-127.762215,9,"Sample","2021-09-18",38,9,29
"HI9306921",51.964147,-128.241776,40,"Sample","2021-09-11",17,2,15
"HI94941",51.873616,-128.479581,39,"Sample","2021-09-06",18,7,11
"KIS1",51.811115,-128.229238,4,"Sample","2021-09-07",36,12,24
"KIS2",51.837065,-128.239197,4.5,"Sample","2021-09-07",33,11,22
"KOE3",51.776021,-127.879011,2,"Sample","2021-09-03",30,11,19
"Kelpie",51.733675,-127.995656,8,"Sample","2021-09-05",31,6,25
"Manley",51.801111,-128.199705,5,"Sample","2021-09-16",28,9,19
"McMullin",52.070721,-128.406769,8,"Sample","2021-09-09",21,6,15
"Meay",51.664367,-128.095067,4.5,"Sample","2021-09-17",18,4,14
"Mercury",51.7442,-128.069272,11,"Sample","2021-09-03",27,6,21
"North",51.667026,-128.140437,5,"Sample","2021-09-02",27,8,19
"North",51.667026,-128.140437,6,"Sample","2021-09-21",27,8,19
"Odlum",51.692794,-128.116588,9,"Sample","2021-09-03",29,9,20
"Odlum",51.692794,-128.116588,21,"Sample","2021-09-21",29,9,20
"PBA",51.645815,-128.119297,2,"Sample","2021-09-03",28,9,19
"PBA",51.645815,-128.119297,4,"Sample","2021-09-21",28,9,19
"PPO",51.657928,-128.113183,3.5,"Sample","2021-09-21",36,11,25
"PPO",51.657928,-128.113183,4,"Sample","2021-09-03",36,11,25
"RIS1",51.456134,-127.690647,3.5,"Sample","2021-09-13",24,6,18
"RIS3",51.486193,-127.760822,2,"Sample","2021-09-18",23,5,18
"SNI1",51.838425,-128.059607,2,"Sample","2021-09-03",28,10,18
"SNI2",51.817492,-128.03013,4,"Sample","2021-09-14",33,12,21
"SSP",51.678742,-128.114878,3,"Sample","2021-09-03",32,7,25
"SSP",51.678742,-128.114878,5,"Sample","2021-09-21",32,7,25
"Second",51.649472,-128.155384,2,"Sample","2021-09-02",20,8,12
"Simonds",51.962018,-128.261944,16,"Sample","2021-09-11",17,3,14
"Starfish",51.680255,-128.125503,9,"Sample","2021-09-21",33,11,22
"Starfish",51.680255,-128.125503,10,"Sample","2021-09-03",33,11,22
"Stryker",52.083508,-128.364411,7,"Sample","2021-09-09",28,7,21
"Thrasher",51.4104,-127.919262,5,"Sample","2021-09-10",17,3,14
"Triquet",51.805664,-128.258096,10,"Sample","2021-09-16",20,3,17
"Triquet Bay",51.808809,-128.235971,4,"Sample","2021-09-07",38,12,26
"Triquetta",51.797452,-128.238991,6,"Sample","2021-09-16",26,9,17
"WFB",51.668826,-128.118737,2.5,"Sample","2021-09-03",19,5,14
"West Beach",51.649172,-128.151917,3.5,"Sample","2021-09-02",18,7,11
"Womanley",51.802457,-128.200065,6,"Sample","2021-09-16",32,9,23
